priogrid_gid,lat,lon,faction,date
144558,10.25,98.75,Junta,myanmar_2024-02-14
145277,10.75,98.25,Junta,myanmar_2024-02-14
145278,10.75,98.75,Junta,myanmar_2024-02-14
145998,11.25,98.75,Junta,myanmar_2024-02-14
145999,11.25,99.25,PDF,myanmar_2024-02-14
146717,11.75,98.25,Junta,myanmar_2024-02-14
146718,11.75,98.75,PDF,myanmar_2024-02-14
146719,11.75,99.25,PDF,myanmar_2024-02-14
146720,11.75,99.75,Junta,myanmar_2024-02-14
147437,12.25,98.25,Junta,myanmar_2024-02-14
147438,12.25,98.75,Junta,myanmar_2024-02-14
147439,12.25,99.25,PDF,myanmar_2024-02-14
148157,12.75,98.25,Junta,myanmar_2024-02-14
148158,12.75,98.75,Junta,myanmar_2024-02-14
148159,12.75,99.25,PDF,myanmar_2024-02-14
148878,13.25,98.75,Junta,myanmar_2024-02-14
148879,13.25,99.25,PDF,myanmar_2024-02-14
149597,13.75,98.25,Junta,myanmar_2024-02-14
149598,13.75,98.75,Karen,myanmar_2024-02-14
149599,13.75,99.25,Karen,myanmar_2024-02-14
150317,14.25,98.25,Junta,myanmar_2024-02-14
150318,14.25,98.75,Karen,myanmar_2024-02-14
151036,14.75,97.75,Junta,myanmar_2024-02-14
151037,14.75,98.25,Karen,myanmar_2024-02-14
151756,15.25,97.75,Junta,myanmar_2024-02-14
151757,15.25,98.25,Junta,myanmar_2024-02-14
152471,15.75,95.25,Junta,myanmar_2024-02-14
152472,15.75,95.75,Junta,myanmar_2024-02-14
152476,15.75,97.75,Junta,myanmar_2024-02-14
152477,15.75,98.25,Karen,myanmar_2024-02-14
153189,16.25,94.25,Junta,myanmar_2024-02-14
153190,16.25,94.75,Junta,myanmar_2024-02-14
153191,16.25,95.25,Junta,myanmar_2024-02-14
153192,16.25,95.75,Junta,myanmar_2024-02-14
153193,16.25,96.25,Junta,myanmar_2024-02-14
153196,16.25,97.75,Junta,myanmar_2024-02-14
153197,16.25,98.25,Karen,myanmar_2024-02-14
153198,16.25,98.75,Karen,myanmar_2024-02-14
153909,16.75,94.25,Junta,myanmar_2024-02-14
153910,16.75,94.75,Junta,myanmar_2024-02-14
153911,16.75,95.25,Junta,myanmar_2024-02-14
153912,16.75,95.75,Junta,myanmar_2024-02-14
153913,16.75,96.25,Junta,myanmar_2024-02-14
153914,16.75,96.75,Junta,myanmar_2024-02-14
153915,16.75,97.25,Junta,myanmar_2024-02-14
