priogrid_gid,lat,lon,faction,date
144558,10.25,98.75,Junta,myanmar_2024-07-02
145277,10.75,98.25,Junta,myanmar_2024-07-02
145278,10.75,98.75,Junta,myanmar_2024-07-02
145998,11.25,98.75,Junta,myanmar_2024-07-02
145999,11.25,99.25,PDF,myanmar_2024-07-02
146717,11.75,98.25,Junta,myanmar_2024-07-02
146718,11.75,98.75,PDF,myanmar_2024-07-02
146719,11.75,99.25,PDF,myanmar_2024-07-02
146720,11.75,99.75,Junta,myanmar_2024-07-02
147437,12.25,98.25,Junta,myanmar_2024-07-02
147438,12.25,98.75,Junta,myanmar_2024-07-02
147439,12.25,99.25,PDF,myanmar_2024-07-02
148157,12.75,98.25,Junta,myanmar_2024-07-02
148158,12.75,98.75,Junta,myanmar_2024-07-02
148159,12.75,99.25,PDF,myanmar_2024-07-02
148878,13.25,98.75,Junta,myanmar_2024-07-02
148879,13.25,99.25,PDF,myanmar_2024-07-02
149597,13.75,98.25,Junta,myanmar_2024-07-02
149598,13.75,98.75,Karen,myanmar_2024-07-02
149599,13.75,99.25,Karen,myanmar_2024-07-02
150317,14.25,98.25,Junta,myanmar_2024-07-02
150318,14.25,98.75,Karen,myanmar_2024-07-02
151036,14.75,97.75,Junta,myanmar_2024-07-02
151037,14.75,98.25,Karen,myanmar_2024-07-02
151756,15.25,97.75,Junta,myanmar_2024-07-02
151757,15.25,98.25,Junta,myanmar_2024-07-02
152471,15.75,95.25,Junta,myanmar_2024-07-02
152472,15.75,95.75,Junta,myanmar_2024-07-02
152476,15.75,97.75,Junta,myanmar_2024-07-02
152477,15.75,98.25,Junta,myanmar_2024-07-02
153189,16.25,94.25,Junta,myanmar_2024-07-02
153190,16.25,94.75,Junta,myanmar_2024-07-02
153191,16.25,95.25,Junta,myanmar_2024-07-02
153192,16.25,95.75,Junta,myanmar_2024-07-02
153193,16.25,96.25,Junta,myanmar_2024-07-02
153196,16.25,97.75,Junta,myanmar_2024-07-02
153197,16.25,98.25,Junta,myanmar_2024-07-02
153198,16.25,98.75,Junta,myanmar_2024-07-02
153909,16.75,94.25,Junta,myanmar_2024-07-02
153910,16.75,94.75,Junta,myanmar_2024-07-02
153911,16.75,95.25,Junta,myanmar_2024-07-02
153912,16.75,95.75,Junta,myanmar_2024-07-02
153913,16.75,96.25,Junta,myanmar_2024-07-02
153914,16.75,96.75,Junta,myanmar_2024-07-02
153915,16.75,97.25,Junta,myanmar_2024-07-02
153916,16.75,97.75,Junta,myanmar_2024-07-02
153917,16.75,98.25,Junta,myanmar_2024-07-02
154630,17.25,94.75,Junta,myanmar_2024-07-02
154631,17.25,95.25,Junta,myanmar_2024-07-02
154632,17.25,95.75,Junta,myanmar_2024-07-02
154633,17.25,96.25,Junta,myanmar_2024-07-02
154634,17.25,96.75,Junta,myanmar_2024-07-02
154635,17.25,97.25,Karen,myanmar_2024-07-02
154636,17.25,97.75,Karen,myanmar_2024-07-02
154637,17.25,98.25,Karen,myanmar_2024-07-02
155350,17.75,94.75,Junta,myanmar_2024-07-02
155351,17.75,95.25,Junta,myanmar_2024-07-02
155352,17.75,95.75,Junta,myanmar_2024-07-02
155353,17.75,96.25,Junta,myanmar_2024-07-02
155354,17.75,96.75,Karen,myanmar_2024-07-02
155355,17.75,97.25,Karen,myanmar_2024-07-02
155356,17.75,97.75,Karen,myanmar_2024-07-02
156069,18.25,94.25,Junta,myanmar_2024-07-02
156070,18.25,94.75,Junta,myanmar_2024-07-02
156071,18.25,95.25,Junta,myanmar_2024-07-02
156072,18.25,95.75,Junta,myanmar_2024-07-02
156073,18.25,96.25,PDF,myanmar_2024-07-02
156074,18.25,96.75,Karen,myanmar_2024-07-02
156075,18.25,97.25,Karen,myanmar_2024-07-02
156076,18.25,97.75,Karen,myanmar_2024-07-02
156788,18.75,93.75,Junta,myanmar_2024-07-02
156789,18.75,94.25,AA,myanmar_2024-07-02
156790,18.75,94.75,AA,myanmar_2024-07-02
156791,18.75,95.25,Junta,myanmar_2024-07-02
156792,18.75,95.75,PDF,myanmar_2024-07-02
156793,18.75,96.25,PDF,myanmar_2024-07-02
156794,18.75,96.75,Karen,myanmar_2024-07-02
156795,18.75,97.25,Karenni,myanmar_2024-07-02
156796,18.75,97.75,Karenni,myanmar_2024-07-02
157508,19.25,93.75,Junta,myanmar_2024-07-02
157509,19.25,94.25,AA,myanmar_2024-07-02
157510,19.25,94.75,Junta,myanmar_2024-07-02
157511,19.25,95.25,Junta,myanmar_2024-07-02
157512,19.25,95.75,Junta,myanmar_2024-07-02
157513,19.25,96.25,Junta,myanmar_2024-07-02
157514,19.25,96.75,Karen,myanmar_2024-07-02
157515,19.25,97.25,Karenni,myanmar_2024-07-02
157516,19.25,97.75,Karenni,myanmar_2024-07-02
158228,19.75,93.75,AA,myanmar_2024-07-02
158229,19.75,94.25,AA,myanmar_2024-07-02
158230,19.75,94.75,Junta,myanmar_2024-07-02
158231,19.75,95.25,Junta,myanmar_2024-07-02
158232,19.75,95.75,Junta,myanmar_2024-07-02
158233,19.75,96.25,Junta,myanmar_2024-07-02
158234,19.75,96.75,Karenni,myanmar_2024-07-02
158235,19.75,97.25,Karenni,myanmar_2024-07-02
158236,19.75,97.75,Junta,myanmar_2024-07-02
158237,19.75,98.25,Junta,myanmar_2024-07-02
158238,19.75,98.75,Junta,myanmar_2024-07-02
158946,20.25,92.75,Junta,myanmar_2024-07-02
158947,20.25,93.25,Junta,myanmar_2024-07-02
158948,20.25,93.75,AA,myanmar_2024-07-02
158949,20.25,94.25,AA,myanmar_2024-07-02
