priogrid_gid,lat,lon,faction,date
144558,10.25,98.75,Junta,myanmar_2025-11-06
145277,10.75,98.25,Junta,myanmar_2025-11-06
145278,10.75,98.75,Junta,myanmar_2025-11-06
145998,11.25,98.75,Junta,myanmar_2025-11-06
145999,11.25,99.25,PDF,myanmar_2025-11-06
146717,11.75,98.25,Junta,myanmar_2025-11-06
146718,11.75,98.75,PDF,myanmar_2025-11-06
146719,11.75,99.25,PDF,myanmar_2025-11-06
146720,11.75,99.75,Junta,myanmar_2025-11-06
147437,12.25,98.25,Junta,myanmar_2025-11-06
147438,12.25,98.75,Junta,myanmar_2025-11-06
147439,12.25,99.25,PDF,myanmar_2025-11-06
148157,12.75,98.25,Junta,myanmar_2025-11-06
148158,12.75,98.75,Junta,myanmar_2025-11-06
148159,12.75,99.25,PDF,myanmar_2025-11-06
148878,13.25,98.75,Junta,myanmar_2025-11-06
148879,13.25,99.25,PDF,myanmar_2025-11-06
149597,13.75,98.25,Junta,myanmar_2025-11-06
149598,13.75,98.75,Karen,myanmar_2025-11-06
149599,13.75,99.25,Karen,myanmar_2025-11-06
150317,14.25,98.25,Junta,myanmar_2025-11-06
150318,14.25,98.75,Karen,myanmar_2025-11-06
151036,14.75,97.75,Junta,myanmar_2025-11-06
151037,14.75,98.25,Karen,myanmar_2025-11-06
151756,15.25,97.75,Junta,myanmar_2025-11-06
151757,15.25,98.25,Junta,myanmar_2025-11-06
152471,15.75,95.25,Junta,myanmar_2025-11-06
152472,15.75,95.75,Junta,myanmar_2025-11-06
152476,15.75,97.75,Junta,myanmar_2025-11-06
152477,15.75,98.25,Junta,myanmar_2025-11-06
153189,16.25,94.25,Junta,myanmar_2025-11-06
153190,16.25,94.75,Junta,myanmar_2025-11-06
153191,16.25,95.25,Junta,myanmar_2025-11-06
153192,16.25,95.75,Junta,myanmar_2025-11-06
153193,16.25,96.25,Junta,myanmar_2025-11-06
153196,16.25,97.75,Junta,myanmar_2025-11-06
153197,16.25,98.25,Junta,myanmar_2025-11-06
153198,16.25,98.75,Junta,myanmar_2025-11-06
153909,16.75,94.25,Junta,myanmar_2025-11-06
153910,16.75,94.75,Junta,myanmar_2025-11-06
153911,16.75,95.25,Junta,myanmar_2025-11-06
153912,16.75,95.75,Junta,myanmar_2025-11-06
153913,16.75,96.25,Junta,myanmar_2025-11-06
153914,16.75,96.75,Junta,myanmar_2025-11-06
153915,16.75,97.25,Junta,myanmar_2025-11-06
153916,16.75,97.75,Junta,myanmar_2025-11-06
153917,16.75,98.25,Junta,myanmar_2025-11-06
154630,17.25,94.75,Junta,myanmar_2025-11-06
154631,17.25,95.25,Junta,myanmar_2025-11-06
154632,17.25,95.75,Junta,myanmar_2025-11-06
154633,17.25,96.25,Junta,myanmar_2025-11-06
154634,17.25,96.75,Junta,myanmar_2025-11-06
154635,17.25,97.25,Karen,myanmar_2025-11-06
154636,17.25,97.75,Karen,myanmar_2025-11-06
154637,17.25,98.25,Karen,myanmar_2025-11-06
155350,17.75,94.75,Junta,myanmar_2025-11-06
155351,17.75,95.25,Junta,myanmar_2025-11-06
155352,17.75,95.75,Junta,myanmar_2025-11-06
155353,17.75,96.25,Junta,myanmar_2025-11-06
155354,17.75,96.75,Karen,myanmar_2025-11-06
155355,17.75,97.25,Karen,myanmar_2025-11-06
155356,17.75,97.75,Karen,myanmar_2025-11-06
156069,18.25,94.25,Junta,myanmar_2025-11-06
156070,18.25,94.75,Junta,myanmar_2025-11-06
156071,18.25,95.25,Junta,myanmar_2025-11-06
156072,18.25,95.75,Junta,myanmar_2025-11-06
156073,18.25,96.25,PDF,myanmar_2025-11-06
156074,18.25,96.75,Karen,myanmar_2025-11-06
156075,18.25,97.25,Karen,myanmar_2025-11-06
156076,18.25,97.75,Karen,myanmar_2025-11-06
156788,18.75,93.75,Junta,myanmar_2025-11-06
156789,18.75,94.25,Junta,myanmar_2025-11-06
156790,18.75,94.75,Junta,myanmar_2025-11-06
156791,18.75,95.25,Junta,myanmar_2025-11-06
156792,18.75,95.75,PDF,myanmar_2025-11-06
156793,18.75,96.25,PDF,myanmar_2025-11-06
156794,18.75,96.75,Karen,myanmar_2025-11-06
156795,18.75,97.25,Karenni,myanmar_2025-11-06
156796,18.75,97.75,Karenni,myanmar_2025-11-06
157508,19.25,93.75,Junta,myanmar_2025-11-06
157509,19.25,94.25,Junta,myanmar_2025-11-06
157510,19.25,94.75,Junta,myanmar_2025-11-06
157511,19.25,95.25,Junta,myanmar_2025-11-06
157512,19.25,95.75,Junta,myanmar_2025-11-06
157513,19.25,96.25,Junta,myanmar_2025-11-06
157514,19.25,96.75,Karen,myanmar_2025-11-06
157515,19.25,97.25,Karenni,myanmar_2025-11-06
