priogrid_gid,lat,lon,faction,date
144558,10.25,98.75,Junta,myanmar_2024-07-25
145277,10.75,98.25,Junta,myanmar_2024-07-25
145278,10.75,98.75,Junta,myanmar_2024-07-25
145998,11.25,98.75,Junta,myanmar_2024-07-25
145999,11.25,99.25,PDF,myanmar_2024-07-25
146717,11.75,98.25,Junta,myanmar_2024-07-25
146718,11.75,98.75,PDF,myanmar_2024-07-25
146719,11.75,99.25,PDF,myanmar_2024-07-25
146720,11.75,99.75,Junta,myanmar_2024-07-25
147437,12.25,98.25,Junta,myanmar_2024-07-25
147438,12.25,98.75,Junta,myanmar_2024-07-25
147439,12.25,99.25,PDF,myanmar_2024-07-25
148157,12.75,98.25,Junta,myanmar_2024-07-25
148158,12.75,98.75,Junta,myanmar_2024-07-25
148159,12.75,99.25,PDF,myanmar_2024-07-25
148878,13.25,98.75,Junta,myanmar_2024-07-25
148879,13.25,99.25,PDF,myanmar_2024-07-25
149597,13.75,98.25,Junta,myanmar_2024-07-25
149598,13.75,98.75,Karen,myanmar_2024-07-25
149599,13.75,99.25,Karen,myanmar_2024-07-25
150317,14.25,98.25,Junta,myanmar_2024-07-25
150318,14.25,98.75,Karen,myanmar_2024-07-25
151036,14.75,97.75,Junta,myanmar_2024-07-25
151037,14.75,98.25,Karen,myanmar_2024-07-25
151756,15.25,97.75,Junta,myanmar_2024-07-25
151757,15.25,98.25,Junta,myanmar_2024-07-25
152471,15.75,95.25,Junta,myanmar_2024-07-25
152472,15.75,95.75,Junta,myanmar_2024-07-25
152476,15.75,97.75,Junta,myanmar_2024-07-25
152477,15.75,98.25,Junta,myanmar_2024-07-25
153189,16.25,94.25,Junta,myanmar_2024-07-25
153190,16.25,94.75,Junta,myanmar_2024-07-25
153191,16.25,95.25,Junta,myanmar_2024-07-25
153192,16.25,95.75,Junta,myanmar_2024-07-25
153193,16.25,96.25,Junta,myanmar_2024-07-25
153196,16.25,97.75,Junta,myanmar_2024-07-25
153197,16.25,98.25,Junta,myanmar_2024-07-25
153198,16.25,98.75,Junta,myanmar_2024-07-25
153909,16.75,94.25,Junta,myanmar_2024-07-25
153910,16.75,94.75,Junta,myanmar_2024-07-25
153911,16.75,95.25,Junta,myanmar_2024-07-25
153912,16.75,95.75,Junta,myanmar_2024-07-25
153913,16.75,96.25,Junta,myanmar_2024-07-25
153914,16.75,96.75,Junta,myanmar_2024-07-25
153915,16.75,97.25,Junta,myanmar_2024-07-25
153916,16.75,97.75,Junta,myanmar_2024-07-25
153917,16.75,98.25,Junta,myanmar_2024-07-25
154630,17.25,94.75,Junta,myanmar_2024-07-25
154631,17.25,95.25,Junta,myanmar_2024-07-25
154632,17.25,95.75,Junta,myanmar_2024-07-25
154633,17.25,96.25,Junta,myanmar_2024-07-25
154634,17.25,96.75,Junta,myanmar_2024-07-25
154635,17.25,97.25,Karen,myanmar_2024-07-25
154636,17.25,97.75,Karen,myanmar_2024-07-25
154637,17.25,98.25,Karen,myanmar_2024-07-25
155350,17.75,94.75,Junta,myanmar_2024-07-25
155351,17.75,95.25,Junta,myanmar_2024-07-25
155352,17.75,95.75,Junta,myanmar_2024-07-25
155353,17.75,96.25,Junta,myanmar_2024-07-25
155354,17.75,96.75,Karen,myanmar_2024-07-25
155355,17.75,97.25,Karen,myanmar_2024-07-25
155356,17.75,97.75,Karen,myanmar_2024-07-25
156069,18.25,94.25,Junta,myanmar_2024-07-25
156070,18.25,94.75,Junta,myanmar_2024-07-25
156071,18.25,95.25,Junta,myanmar_2024-07-25
156072,18.25,95.75,Junta,myanmar_2024-07-25
156073,18.25,96.25,PDF,myanmar_2024-07-25
156074,18.25,96.75,Karen,myanmar_2024-07-25
156075,18.25,97.25,Karen,myanmar_2024-07-25
156076,18.25,97.75,Karen,myanmar_2024-07-25
156788,18.75,93.75,Junta,myanmar_2024-07-25
156789,18.75,94.25,Junta,myanmar_2024-07-25
156790,18.75,94.75,Junta,myanmar_2024-07-25
156791,18.75,95.25,Junta,myanmar_2024-07-25
156792,18.75,95.75,PDF,myanmar_2024-07-25
156793,18.75,96.25,PDF,myanmar_2024-07-25
156794,18.75,96.75,Karen,myanmar_2024-07-25
156795,18.75,97.25,Karenni,myanmar_2024-07-25
156796,18.75,97.75,Karenni,myanmar_2024-07-25
157508,19.25,93.75,Junta,myanmar_2024-07-25
157509,19.25,94.25,Junta,myanmar_2024-07-25
157510,19.25,94.75,Junta,myanmar_2024-07-25
157511,19.25,95.25,Junta,myanmar_2024-07-25
157512,19.25,95.75,Junta,myanmar_2024-07-25
157513,19.25,96.25,Junta,myanmar_2024-07-25
157514,19.25,96.75,Karen,myanmar_2024-07-25
157515,19.25,97.25,Karenni,myanmar_2024-07-25
157516,19.25,97.75,Karenni,myanmar_2024-07-25
158228,19.75,93.75,AA,myanmar_2024-07-25
158229,19.75,94.25,AA,myanmar_2024-07-25
158230,19.75,94.75,Junta,myanmar_2024-07-25
158231,19.75,95.25,Junta,myanmar_2024-07-25
158232,19.75,95.75,Junta,myanmar_2024-07-25
158233,19.75,96.25,Junta,myanmar_2024-07-25
158234,19.75,96.75,Karenni,myanmar_2024-07-25
158235,19.75,97.25,Karenni,myanmar_2024-07-25
158236,19.75,97.75,Junta,myanmar_2024-07-25
158237,19.75,98.25,Junta,myanmar_2024-07-25
158238,19.75,98.75,Junta,myanmar_2024-07-25
158946,20.25,92.75,Junta,myanmar_2024-07-25
158947,20.25,93.25,Junta,myanmar_2024-07-25
158948,20.25,93.75,AA,myanmar_2024-07-25
158949,20.25,94.25,AA,myanmar_2024-07-25
158950,20.25,94.75,Junta,myanmar_2024-07-25
158951,20.25,95.25,Junta,myanmar_2024-07-25
158952,20.25,95.75,Junta,myanmar_2024-07-25
158953,20.25,96.25,Junta,myanmar_2024-07-25
158954,20.25,96.75,Junta,myanmar_2024-07-25
158955,20.25,97.25,Junta,myanmar_2024-07-25
158956,20.25,97.75,Junta,myanmar_2024-07-25
158957,20.25,98.25,Junta,myanmar_2024-07-25
158958,20.25,98.75,Junta,myanmar_2024-07-25
158959,20.25,99.25,Junta,myanmar_2024-07-25
158960,20.25,99.75,Junta,myanmar_2024-07-25
158961,20.25,100.25,Junta,myanmar_2024-07-25
159665,20.75,92.25,Junta,myanmar_2024-07-25
159666,20.75,92.75,AA,myanmar_2024-07-25
159667,20.75,93.25,AA,myanmar_2024-07-25
159668,20.75,93.75,AA,myanmar_2024-07-25
159669,20.75,94.25,AA,myanmar_2024-07-25
159670,20.75,94.75,Junta,myanmar_2024-07-25
159671,20.75,95.25,Junta,myanmar_2024-07-25
159672,20.75,95.75,Junta,myanmar_2024-07-25
159673,20.75,96.25,Junta,myanmar_2024-07-25
159674,20.75,96.75,Junta,myanmar_2024-07-25
159675,20.75,97.25,Junta,myanmar_2024-07-25
159676,20.75,97.75,Junta,myanmar_2024-07-25
159677,20.75,98.25,Junta,myanmar_2024-07-25
159678,20.75,98.75,Junta,myanmar_2024-07-25
159679,20.75,99.25,Junta,myanmar_2024-07-25
159680,20.75,99.75,Junta,myanmar_2024-07-25
159681,20.75,100.25,Junta,myanmar_2024-07-25
