priogrid_gid,lat,lon,faction,date
144558,10.25,98.75,Junta,myanmar_2024-08-08
145277,10.75,98.25,Junta,myanmar_2024-08-08
145278,10.75,98.75,Junta,myanmar_2024-08-08
145998,11.25,98.75,Junta,myanmar_2024-08-08
145999,11.25,99.25,PDF,myanmar_2024-08-08
146717,11.75,98.25,Junta,myanmar_2024-08-08
146718,11.75,98.75,PDF,myanmar_2024-08-08
146719,11.75,99.25,PDF,myanmar_2024-08-08
146720,11.75,99.75,Junta,myanmar_2024-08-08
147437,12.25,98.25,Junta,myanmar_2024-08-08
147438,12.25,98.75,Junta,myanmar_2024-08-08
147439,12.25,99.25,PDF,myanmar_2024-08-08
148157,12.75,98.25,Junta,myanmar_2024-08-08
148158,12.75,98.75,Junta,myanmar_2024-08-08
148159,12.75,99.25,PDF,myanmar_2024-08-08
148878,13.25,98.75,Junta,myanmar_2024-08-08
148879,13.25,99.25,PDF,myanmar_2024-08-08
149597,13.75,98.25,Junta,myanmar_2024-08-08
149598,13.75,98.75,Karen,myanmar_2024-08-08
149599,13.75,99.25,Karen,myanmar_2024-08-08
150317,14.25,98.25,Junta,myanmar_2024-08-08
150318,14.25,98.75,Karen,myanmar_2024-08-08
151036,14.75,97.75,Junta,myanmar_2024-08-08
151037,14.75,98.25,Karen,myanmar_2024-08-08
151756,15.25,97.75,Junta,myanmar_2024-08-08
151757,15.25,98.25,Junta,myanmar_2024-08-08
152471,15.75,95.25,Junta,myanmar_2024-08-08
152472,15.75,95.75,Junta,myanmar_2024-08-08
152476,15.75,97.75,Junta,myanmar_2024-08-08
152477,15.75,98.25,Junta,myanmar_2024-08-08
153189,16.25,94.25,Junta,myanmar_2024-08-08
153190,16.25,94.75,Junta,myanmar_2024-08-08
153191,16.25,95.25,Junta,myanmar_2024-08-08
153192,16.25,95.75,Junta,myanmar_2024-08-08
153193,16.25,96.25,Junta,myanmar_2024-08-08
153196,16.25,97.75,Junta,myanmar_2024-08-08
153197,16.25,98.25,Junta,myanmar_2024-08-08
153198,16.25,98.75,Junta,myanmar_2024-08-08
153909,16.75,94.25,Junta,myanmar_2024-08-08
153910,16.75,94.75,Junta,myanmar_2024-08-08
153911,16.75,95.25,Junta,myanmar_2024-08-08
153912,16.75,95.75,Junta,myanmar_2024-08-08
153913,16.75,96.25,Junta,myanmar_2024-08-08
153914,16.75,96.75,Junta,myanmar_2024-08-08
153915,16.75,97.25,Junta,myanmar_2024-08-08
153916,16.75,97.75,Junta,myanmar_2024-08-08
153917,16.75,98.25,Junta,myanmar_2024-08-08
154630,17.25,94.75,Junta,myanmar_2024-08-08
154631,17.25,95.25,Junta,myanmar_2024-08-08
154632,17.25,95.75,Junta,myanmar_2024-08-08
154633,17.25,96.25,Junta,myanmar_2024-08-08
154634,17.25,96.75,Junta,myanmar_2024-08-08
154635,17.25,97.25,Karen,myanmar_2024-08-08
154636,17.25,97.75,Karen,myanmar_2024-08-08
154637,17.25,98.25,Karen,myanmar_2024-08-08
155350,17.75,94.75,Junta,myanmar_2024-08-08
155351,17.75,95.25,Junta,myanmar_2024-08-08
155352,17.75,95.75,Junta,myanmar_2024-08-08
155353,17.75,96.25,Junta,myanmar_2024-08-08
155354,17.75,96.75,Karen,myanmar_2024-08-08
155355,17.75,97.25,Karen,myanmar_2024-08-08
155356,17.75,97.75,Karen,myanmar_2024-08-08
156069,18.25,94.25,Junta,myanmar_2024-08-08
156070,18.25,94.75,Junta,myanmar_2024-08-08
156071,18.25,95.25,Junta,myanmar_2024-08-08
156072,18.25,95.75,Junta,myanmar_2024-08-08
156073,18.25,96.25,PDF,myanmar_2024-08-08
156074,18.25,96.75,Karen,myanmar_2024-08-08
156075,18.25,97.25,Karen,myanmar_2024-08-08
156076,18.25,97.75,Karen,myanmar_2024-08-08
156788,18.75,93.75,Junta,myanmar_2024-08-08
156789,18.75,94.25,Junta,myanmar_2024-08-08
156790,18.75,94.75,Junta,myanmar_2024-08-08
156791,18.75,95.25,Junta,myanmar_2024-08-08
156792,18.75,95.75,PDF,myanmar_2024-08-08
156793,18.75,96.25,PDF,myanmar_2024-08-08
156794,18.75,96.75,Karen,myanmar_2024-08-08
156795,18.75,97.25,Karenni,myanmar_2024-08-08
156796,18.75,97.75,Karenni,myanmar_2024-08-08
157508,19.25,93.75,Junta,myanmar_2024-08-08
157509,19.25,94.25,Junta,myanmar_2024-08-08
157510,19.25,94.75,Junta,myanmar_2024-08-08
157511,19.25,95.25,Junta,myanmar_2024-08-08
157512,19.25,95.75,Junta,myanmar_2024-08-08
157513,19.25,96.25,Junta,myanmar_2024-08-08
157514,19.25,96.75,Karen,myanmar_2024-08-08
157515,19.25,97.25,Karenni,myanmar_2024-08-08
157516,19.25,97.75,Karenni,myanmar_2024-08-08
158228,19.75,93.75,AA,myanmar_2024-08-08
158229,19.75,94.25,AA,myanmar_2024-08-08
158230,19.75,94.75,Junta,myanmar_2024-08-08
158231,19.75,95.25,Junta,myanmar_2024-08-08
158232,19.75,95.75,Junta,myanmar_2024-08-08
158233,19.75,96.25,Junta,myanmar_2024-08-08
158234,19.75,96.75,Karenni,myanmar_2024-08-08
158235,19.75,97.25,Karenni,myanmar_2024-08-08
158236,19.75,97.75,Junta,myanmar_2024-08-08
158237,19.75,98.25,Junta,myanmar_2024-08-08
158238,19.75,98.75,Junta,myanmar_2024-08-08
158946,20.25,92.75,Junta,myanmar_2024-08-08
158947,20.25,93.25,Junta,myanmar_2024-08-08
158948,20.25,93.75,AA,myanmar_2024-08-08
158949,20.25,94.25,AA,myanmar_2024-08-08
158950,20.25,94.75,Junta,myanmar_2024-08-08
158951,20.25,95.25,Junta,myanmar_2024-08-08
158952,20.25,95.75,Junta,myanmar_2024-08-08
158953,20.25,96.25,Junta,myanmar_2024-08-08
158954,20.25,96.75,Junta,myanmar_2024-08-08
158955,20.25,97.25,Junta,myanmar_2024-08-08
158956,20.25,97.75,Junta,myanmar_2024-08-08
158957,20.25,98.25,Junta,myanmar_2024-08-08
158958,20.25,98.75,Junta,myanmar_2024-08-08
158959,20.25,99.25,Junta,myanmar_2024-08-08
158960,20.25,99.75,Junta,myanmar_2024-08-08
158961,20.25,100.25,Junta,myanmar_2024-08-08
159665,20.75,92.25,Junta,myanmar_2024-08-08
159666,20.75,92.75,AA,myanmar_2024-08-08
159667,20.75,93.25,AA,myanmar_2024-08-08
159668,20.75,93.75,AA,myanmar_2024-08-08
159669,20.75,94.25,AA,myanmar_2024-08-08
159670,20.75,94.75,Junta,myanmar_2024-08-08
159671,20.75,95.25,Junta,myanmar_2024-08-08
159672,20.75,95.75,Junta,myanmar_2024-08-08
159673,20.75,96.25,Junta,myanmar_2024-08-08
159674,20.75,96.75,Junta,myanmar_2024-08-08
159675,20.75,97.25,Junta,myanmar_2024-08-08
159676,20.75,97.75,Junta,myanmar_2024-08-08
159677,20.75,98.25,Junta,myanmar_2024-08-08
159678,20.75,98.75,Junta,myanmar_2024-08-08
159679,20.75,99.25,Junta,myanmar_2024-08-08
159680,20.75,99.75,Junta,myanmar_2024-08-08
159681,20.75,100.25,Junta,myanmar_2024-08-08
160385,21.25,92.25,AA,myanmar_2024-08-08
160386,21.25,92.75,AA,myanmar_2024-08-08
160387,21.25,93.25,Chin Resistance,myanmar_2024-08-08
160388,21.25,93.75,Chin Resistance,myanmar_2024-08-08
160389,21.25,94.25,PDF,myanmar_2024-08-08
160390,21.25,94.75,Junta,myanmar_2024-08-08
160391,21.25,95.25,Junta,myanmar_2024-08-08
160392,21.25,95.75,Junta,myanmar_2024-08-08
160393,21.25,96.25,Junta,myanmar_2024-08-08
