priogrid_gid,lat,lon,faction,date
144558,10.25,98.75,Junta,myanmar_2025-05-13
145277,10.75,98.25,Junta,myanmar_2025-05-13
145278,10.75,98.75,Junta,myanmar_2025-05-13
145998,11.25,98.75,Junta,myanmar_2025-05-13
145999,11.25,99.25,PDF,myanmar_2025-05-13
146717,11.75,98.25,Junta,myanmar_2025-05-13
146718,11.75,98.75,PDF,myanmar_2025-05-13
146719,11.75,99.25,PDF,myanmar_2025-05-13
146720,11.75,99.75,Junta,myanmar_2025-05-13
147437,12.25,98.25,Junta,myanmar_2025-05-13
147438,12.25,98.75,Junta,myanmar_2025-05-13
147439,12.25,99.25,PDF,myanmar_2025-05-13
148157,12.75,98.25,Junta,myanmar_2025-05-13
148158,12.75,98.75,Junta,myanmar_2025-05-13
148159,12.75,99.25,PDF,myanmar_2025-05-13
148878,13.25,98.75,Junta,myanmar_2025-05-13
148879,13.25,99.25,PDF,myanmar_2025-05-13
149597,13.75,98.25,Junta,myanmar_2025-05-13
149598,13.75,98.75,Karen,myanmar_2025-05-13
149599,13.75,99.25,Karen,myanmar_2025-05-13
150317,14.25,98.25,Junta,myanmar_2025-05-13
150318,14.25,98.75,Karen,myanmar_2025-05-13
151036,14.75,97.75,Junta,myanmar_2025-05-13
151037,14.75,98.25,Karen,myanmar_2025-05-13
151756,15.25,97.75,Junta,myanmar_2025-05-13
151757,15.25,98.25,Junta,myanmar_2025-05-13
152471,15.75,95.25,Junta,myanmar_2025-05-13
152472,15.75,95.75,Junta,myanmar_2025-05-13
152476,15.75,97.75,Junta,myanmar_2025-05-13
152477,15.75,98.25,Junta,myanmar_2025-05-13
153189,16.25,94.25,Junta,myanmar_2025-05-13
153190,16.25,94.75,Junta,myanmar_2025-05-13
153191,16.25,95.25,Junta,myanmar_2025-05-13
153192,16.25,95.75,Junta,myanmar_2025-05-13
153193,16.25,96.25,Junta,myanmar_2025-05-13
153196,16.25,97.75,Junta,myanmar_2025-05-13
153197,16.25,98.25,Junta,myanmar_2025-05-13
153198,16.25,98.75,Junta,myanmar_2025-05-13
153909,16.75,94.25,Junta,myanmar_2025-05-13
153910,16.75,94.75,Junta,myanmar_2025-05-13
153911,16.75,95.25,Junta,myanmar_2025-05-13
153912,16.75,95.75,Junta,myanmar_2025-05-13
153913,16.75,96.25,Junta,myanmar_2025-05-13
153914,16.75,96.75,Junta,myanmar_2025-05-13
153915,16.75,97.25,Junta,myanmar_2025-05-13
153916,16.75,97.75,Junta,myanmar_2025-05-13
153917,16.75,98.25,Junta,myanmar_2025-05-13
154630,17.25,94.75,Junta,myanmar_2025-05-13
154631,17.25,95.25,Junta,myanmar_2025-05-13
154632,17.25,95.75,Junta,myanmar_2025-05-13
154633,17.25,96.25,Junta,myanmar_2025-05-13
154634,17.25,96.75,Junta,myanmar_2025-05-13
154635,17.25,97.25,Karen,myanmar_2025-05-13
154636,17.25,97.75,Karen,myanmar_2025-05-13
154637,17.25,98.25,Karen,myanmar_2025-05-13
155350,17.75,94.75,Junta,myanmar_2025-05-13
155351,17.75,95.25,Junta,myanmar_2025-05-13
155352,17.75,95.75,Junta,myanmar_2025-05-13
155353,17.75,96.25,Junta,myanmar_2025-05-13
