priogrid_gid,lat,lon,faction,date
144558,10.25,98.75,Junta,myanmar_2024-12-20
145277,10.75,98.25,Junta,myanmar_2024-12-20
145278,10.75,98.75,Junta,myanmar_2024-12-20
145998,11.25,98.75,Junta,myanmar_2024-12-20
145999,11.25,99.25,PDF,myanmar_2024-12-20
146717,11.75,98.25,Junta,myanmar_2024-12-20
146718,11.75,98.75,PDF,myanmar_2024-12-20
146719,11.75,99.25,PDF,myanmar_2024-12-20
146720,11.75,99.75,Junta,myanmar_2024-12-20
147437,12.25,98.25,Junta,myanmar_2024-12-20
147438,12.25,98.75,Junta,myanmar_2024-12-20
147439,12.25,99.25,PDF,myanmar_2024-12-20
148157,12.75,98.25,Junta,myanmar_2024-12-20
148158,12.75,98.75,Junta,myanmar_2024-12-20
148159,12.75,99.25,PDF,myanmar_2024-12-20
148878,13.25,98.75,Junta,myanmar_2024-12-20
148879,13.25,99.25,PDF,myanmar_2024-12-20
149597,13.75,98.25,Junta,myanmar_2024-12-20
149598,13.75,98.75,Karen,myanmar_2024-12-20
149599,13.75,99.25,Karen,myanmar_2024-12-20
150317,14.25,98.25,Junta,myanmar_2024-12-20
150318,14.25,98.75,Karen,myanmar_2024-12-20
151036,14.75,97.75,Junta,myanmar_2024-12-20
151037,14.75,98.25,Karen,myanmar_2024-12-20
151756,15.25,97.75,Junta,myanmar_2024-12-20
151757,15.25,98.25,Junta,myanmar_2024-12-20
152471,15.75,95.25,Junta,myanmar_2024-12-20
152472,15.75,95.75,Junta,myanmar_2024-12-20
152476,15.75,97.75,Junta,myanmar_2024-12-20
152477,15.75,98.25,Junta,myanmar_2024-12-20
153189,16.25,94.25,Junta,myanmar_2024-12-20
153190,16.25,94.75,Junta,myanmar_2024-12-20
153191,16.25,95.25,Junta,myanmar_2024-12-20
153192,16.25,95.75,Junta,myanmar_2024-12-20
153193,16.25,96.25,Junta,myanmar_2024-12-20
153196,16.25,97.75,Junta,myanmar_2024-12-20
153197,16.25,98.25,Junta,myanmar_2024-12-20
153198,16.25,98.75,Junta,myanmar_2024-12-20
153909,16.75,94.25,Junta,myanmar_2024-12-20
153910,16.75,94.75,Junta,myanmar_2024-12-20
153911,16.75,95.25,Junta,myanmar_2024-12-20
153912,16.75,95.75,Junta,myanmar_2024-12-20
153913,16.75,96.25,Junta,myanmar_2024-12-20
153914,16.75,96.75,Junta,myanmar_2024-12-20
153915,16.75,97.25,Junta,myanmar_2024-12-20
153916,16.75,97.75,Junta,myanmar_2024-12-20
153917,16.75,98.25,Junta,myanmar_2024-12-20
154630,17.25,94.75,Junta,myanmar_2024-12-20
154631,17.25,95.25,Junta,myanmar_2024-12-20
154632,17.25,95.75,Junta,myanmar_2024-12-20
154633,17.25,96.25,Junta,myanmar_2024-12-20
154634,17.25,96.75,Junta,myanmar_2024-12-20
154635,17.25,97.25,Karen,myanmar_2024-12-20
154636,17.25,97.75,Karen,myanmar_2024-12-20
154637,17.25,98.25,Karen,myanmar_2024-12-20
155350,17.75,94.75,Junta,myanmar_2024-12-20
155351,17.75,95.25,Junta,myanmar_2024-12-20
155352,17.75,95.75,Junta,myanmar_2024-12-20
155353,17.75,96.25,Junta,myanmar_2024-12-20
155354,17.75,96.75,Karen,myanmar_2024-12-20
155355,17.75,97.25,Karen,myanmar_2024-12-20
155356,17.75,97.75,Karen,myanmar_2024-12-20
156069,18.25,94.25,Junta,myanmar_2024-12-20
156070,18.25,94.75,Junta,myanmar_2024-12-20
156071,18.25,95.25,Junta,myanmar_2024-12-20
156072,18.25,95.75,Junta,myanmar_2024-12-20
156073,18.25,96.25,PDF,myanmar_2024-12-20
156074,18.25,96.75,Karen,myanmar_2024-12-20
156075,18.25,97.25,Karen,myanmar_2024-12-20
156076,18.25,97.75,Karen,myanmar_2024-12-20
156788,18.75,93.75,Junta,myanmar_2024-12-20
156789,18.75,94.25,Junta,myanmar_2024-12-20
156790,18.75,94.75,Junta,myanmar_2024-12-20
156791,18.75,95.25,Junta,myanmar_2024-12-20
156792,18.75,95.75,PDF,myanmar_2024-12-20
156793,18.75,96.25,PDF,myanmar_2024-12-20
156794,18.75,96.75,Karen,myanmar_2024-12-20
156795,18.75,97.25,Karenni,myanmar_2024-12-20
156796,18.75,97.75,Karenni,myanmar_2024-12-20
157508,19.25,93.75,Junta,myanmar_2024-12-20
157509,19.25,94.25,Junta,myanmar_2024-12-20
157510,19.25,94.75,Junta,myanmar_2024-12-20
157511,19.25,95.25,Junta,myanmar_2024-12-20
157512,19.25,95.75,Junta,myanmar_2024-12-20
157513,19.25,96.25,Junta,myanmar_2024-12-20
157514,19.25,96.75,Karen,myanmar_2024-12-20
157515,19.25,97.25,Karenni,myanmar_2024-12-20
157516,19.25,97.75,Karenni,myanmar_2024-12-20
158228,19.75,93.75,AA,myanmar_2024-12-20
158229,19.75,94.25,AA,myanmar_2024-12-20
158230,19.75,94.75,Junta,myanmar_2024-12-20
158231,19.75,95.25,Junta,myanmar_2024-12-20
158232,19.75,95.75,Junta,myanmar_2024-12-20
158233,19.75,96.25,Junta,myanmar_2024-12-20
158234,19.75,96.75,Karenni,myanmar_2024-12-20
158235,19.75,97.25,Karenni,myanmar_2024-12-20
158236,19.75,97.75,Junta,myanmar_2024-12-20
158237,19.75,98.25,Junta,myanmar_2024-12-20
158238,19.75,98.75,Junta,myanmar_2024-12-20
158946,20.25,92.75,Junta,myanmar_2024-12-20
158947,20.25,93.25,Junta,myanmar_2024-12-20
158948,20.25,93.75,AA,myanmar_2024-12-20
158949,20.25,94.25,AA,myanmar_2024-12-20
158950,20.25,94.75,Junta,myanmar_2024-12-20
158951,20.25,95.25,Junta,myanmar_2024-12-20
158952,20.25,95.75,Junta,myanmar_2024-12-20
158953,20.25,96.25,Junta,myanmar_2024-12-20
158954,20.25,96.75,Junta,myanmar_2024-12-20
158955,20.25,97.25,Junta,myanmar_2024-12-20
158956,20.25,97.75,Junta,myanmar_2024-12-20
158957,20.25,98.25,Junta,myanmar_2024-12-20
158958,20.25,98.75,Junta,myanmar_2024-12-20
158959,20.25,99.25,Junta,myanmar_2024-12-20
158960,20.25,99.75,Junta,myanmar_2024-12-20
158961,20.25,100.25,Junta,myanmar_2024-12-20
159665,20.75,92.25,Junta,myanmar_2024-12-20
159666,20.75,92.75,AA,myanmar_2024-12-20
159667,20.75,93.25,AA,myanmar_2024-12-20
159668,20.75,93.75,AA,myanmar_2024-12-20
159669,20.75,94.25,AA,myanmar_2024-12-20
159670,20.75,94.75,Junta,myanmar_2024-12-20
159671,20.75,95.25,Junta,myanmar_2024-12-20
159672,20.75,95.75,Junta,myanmar_2024-12-20
159673,20.75,96.25,Junta,myanmar_2024-12-20
159674,20.75,96.75,Junta,myanmar_2024-12-20
159675,20.75,97.25,Junta,myanmar_2024-12-20
159676,20.75,97.75,Junta,myanmar_2024-12-20
159677,20.75,98.25,Junta,myanmar_2024-12-20
159678,20.75,98.75,Junta,myanmar_2024-12-20
159679,20.75,99.25,Junta,myanmar_2024-12-20
159680,20.75,99.75,Junta,myanmar_2024-12-20
159681,20.75,100.25,Junta,myanmar_2024-12-20
160385,21.25,92.25,AA,myanmar_2024-12-20
160386,21.25,92.75,AA,myanmar_2024-12-20
160387,21.25,93.25,Chin Resistance,myanmar_2024-12-20
160388,21.25,93.75,Chin Resistance,myanmar_2024-12-20
160389,21.25,94.25,PDF,myanmar_2024-12-20
160390,21.25,94.75,Junta,myanmar_2024-12-20
160391,21.25,95.25,Junta,myanmar_2024-12-20
160392,21.25,95.75,Junta,myanmar_2024-12-20
160393,21.25,96.25,Junta,myanmar_2024-12-20
160394,21.25,96.75,Junta,myanmar_2024-12-20
160395,21.25,97.25,SSPP,myanmar_2024-12-20
160396,21.25,97.75,SSPP,myanmar_2024-12-20
160397,21.25,98.25,Junta,myanmar_2024-12-20
160398,21.25,98.75,Junta,myanmar_2024-12-20
160399,21.25,99.25,Junta,myanmar_2024-12-20
160400,21.25,99.75,Junta,myanmar_2024-12-20
160401,21.25,100.25,Junta,myanmar_2024-12-20
160402,21.25,100.75,Junta,myanmar_2024-12-20
161105,21.75,92.25,AA,myanmar_2024-12-20
161106,21.75,92.75,AA,myanmar_2024-12-20
161107,21.75,93.25,Chin Resistance,myanmar_2024-12-20
161108,21.75,93.75,Chin Resistance,myanmar_2024-12-20
161109,21.75,94.25,Chin Resistance,myanmar_2024-12-20
161110,21.75,94.75,PDF,myanmar_2024-12-20
161111,21.75,95.25,PDF,myanmar_2024-12-20
161112,21.75,95.75,Junta,myanmar_2024-12-20
161113,21.75,96.25,Junta,myanmar_2024-12-20
161114,21.75,96.75,Junta,myanmar_2024-12-20
161115,21.75,97.25,SSPP,myanmar_2024-12-20
161116,21.75,97.75,SSPP,myanmar_2024-12-20
161117,21.75,98.25,SSPP,myanmar_2024-12-20
161118,21.75,98.75,Junta,myanmar_2024-12-20
161119,21.75,99.25,Junta,myanmar_2024-12-20
161120,21.75,99.75,NDAA,myanmar_2024-12-20
161121,21.75,100.25,NDAA,myanmar_2024-12-20
161122,21.75,100.75,NDAA,myanmar_2024-12-20
161123,21.75,101.25,Junta,myanmar_2024-12-20
161826,22.25,92.75,AA,myanmar_2024-12-20
161827,22.25,93.25,Chin Resistance,myanmar_2024-12-20
161828,22.25,93.75,Chin Resistance,myanmar_2024-12-20
161829,22.25,94.25,Junta,myanmar_2024-12-20
161830,22.25,94.75,Junta,myanmar_2024-12-20
161831,22.25,95.25,Junta,myanmar_2024-12-20
161832,22.25,95.75,Junta,myanmar_2024-12-20
161833,22.25,96.25,Junta,myanmar_2024-12-20
161834,22.25,96.75,Junta,myanmar_2024-12-20
161835,22.25,97.25,SSPP,myanmar_2024-12-20
161836,22.25,97.75,SSPP,myanmar_2024-12-20
161837,22.25,98.25,SSPP,myanmar_2024-12-20
161838,22.25,98.75,SSPP,myanmar_2024-12-20
161839,22.25,99.25,UWSA,myanmar_2024-12-20
161840,22.25,99.75,UWSA,myanmar_2024-12-20
162547,22.75,93.25,Chin Resistance,myanmar_2024-12-20
162548,22.75,93.75,Chin Resistance,myanmar_2024-12-20
162549,22.75,94.25,Junta,myanmar_2024-12-20
162550,22.75,94.75,Junta,myanmar_2024-12-20
162551,22.75,95.25,Junta,myanmar_2024-12-20
162552,22.75,95.75,Junta,myanmar_2024-12-20
162553,22.75,96.25,Junta,myanmar_2024-12-20
162554,22.75,96.75,Junta,myanmar_2024-12-20
162555,22.75,97.25,Junta,myanmar_2024-12-20
162556,22.75,97.75,Junta,myanmar_2024-12-20
162557,22.75,98.25,SSPP,myanmar_2024-12-20
162558,22.75,98.75,SSPP,myanmar_2024-12-20
162559,22.75,99.25,UWSA,myanmar_2024-12-20
163267,23.25,93.25,Chin Resistance,myanmar_2024-12-20
163268,23.25,93.75,Chin Resistance,myanmar_2024-12-20
163269,23.25,94.25,Junta,myanmar_2024-12-20
163270,23.25,94.75,Junta,myanmar_2024-12-20
163271,23.25,95.25,Junta,myanmar_2024-12-20
163272,23.25,95.75,Junta,myanmar_2024-12-20
163273,23.25,96.25,Junta,myanmar_2024-12-20
163274,23.25,96.75,KIA,myanmar_2024-12-20
163275,23.25,97.25,Junta,myanmar_2024-12-20
163276,23.25,97.75,Junta,myanmar_2024-12-20
163277,23.25,98.25,Junta,myanmar_2024-12-20
163278,23.25,98.75,UWSA,myanmar_2024-12-20
163279,23.25,99.25,UWSA,myanmar_2024-12-20
163987,23.75,93.25,Chin Resistance,myanmar_2024-12-20
163988,23.75,93.75,Chin Resistance,myanmar_2024-12-20
163989,23.75,94.25,Chin Resistance,myanmar_2024-12-20
163990,23.75,94.75,Junta,myanmar_2024-12-20
163991,23.75,95.25,Junta,myanmar_2024-12-20
163992,23.75,95.75,Junta,myanmar_2024-12-20
163993,23.75,96.25,Junta,myanmar_2024-12-20
163994,23.75,96.75,KIA,myanmar_2024-12-20
163995,23.75,97.25,KIA,myanmar_2024-12-20
163996,23.75,97.75,KIA,myanmar_2024-12-20
163997,23.75,98.25,KIA,myanmar_2024-12-20
163998,23.75,98.75,Junta,myanmar_2024-12-20
164707,24.25,93.25,Chin Resistance,myanmar_2024-12-20
164708,24.25,93.75,Chin Resistance,myanmar_2024-12-20
164709,24.25,94.25,Junta,myanmar_2024-12-20
164710,24.25,94.75,Junta,myanmar_2024-12-20
164711,24.25,95.25,Junta,myanmar_2024-12-20
164712,24.25,95.75,KIA,myanmar_2024-12-20
164713,24.25,96.25,KIA,myanmar_2024-12-20
164714,24.25,96.75,KIA,myanmar_2024-12-20
164715,24.25,97.25,KIA,myanmar_2024-12-20
164716,24.25,97.75,Junta,myanmar_2024-12-20
164717,24.25,98.25,Junta,myanmar_2024-12-20
164718,24.25,98.75,Junta,myanmar_2024-12-20
165430,24.75,94.75,Junta,myanmar_2024-12-20
165431,24.75,95.25,KIA,myanmar_2024-12-20
165432,24.75,95.75,KIA,myanmar_2024-12-20
165433,24.75,96.25,KIA,myanmar_2024-12-20
165434,24.75,96.75,KIA,myanmar_2024-12-20
165435,24.75,97.25,KIA,myanmar_2024-12-20
165436,24.75,97.75,Junta,myanmar_2024-12-20
166150,25.25,94.75,Junta,myanmar_2024-12-20
166151,25.25,95.25,Junta,myanmar_2024-12-20
166152,25.25,95.75,KIA,myanmar_2024-12-20
166153,25.25,96.25,KIA,myanmar_2024-12-20
