priogrid_gid,lat,lon,faction,date
144558,10.25,98.75,Junta,myanmar_2024-03-16
145277,10.75,98.25,Junta,myanmar_2024-03-16
145278,10.75,98.75,Junta,myanmar_2024-03-16
145998,11.25,98.75,Junta,myanmar_2024-03-16
145999,11.25,99.25,PDF,myanmar_2024-03-16
146717,11.75,98.25,Junta,myanmar_2024-03-16
146718,11.75,98.75,PDF,myanmar_2024-03-16
146719,11.75,99.25,PDF,myanmar_2024-03-16
146720,11.75,99.75,Junta,myanmar_2024-03-16
147437,12.25,98.25,Junta,myanmar_2024-03-16
147438,12.25,98.75,Junta,myanmar_2024-03-16
147439,12.25,99.25,PDF,myanmar_2024-03-16
148157,12.75,98.25,Junta,myanmar_2024-03-16
148158,12.75,98.75,Junta,myanmar_2024-03-16
148159,12.75,99.25,PDF,myanmar_2024-03-16
148878,13.25,98.75,Junta,myanmar_2024-03-16
148879,13.25,99.25,PDF,myanmar_2024-03-16
149597,13.75,98.25,Junta,myanmar_2024-03-16
149598,13.75,98.75,Karen,myanmar_2024-03-16
149599,13.75,99.25,Karen,myanmar_2024-03-16
150317,14.25,98.25,Junta,myanmar_2024-03-16
150318,14.25,98.75,Karen,myanmar_2024-03-16
151036,14.75,97.75,Junta,myanmar_2024-03-16
151037,14.75,98.25,Karen,myanmar_2024-03-16
151756,15.25,97.75,Junta,myanmar_2024-03-16
151757,15.25,98.25,Junta,myanmar_2024-03-16
152471,15.75,95.25,Junta,myanmar_2024-03-16
152472,15.75,95.75,Junta,myanmar_2024-03-16
152476,15.75,97.75,Junta,myanmar_2024-03-16
152477,15.75,98.25,Karen,myanmar_2024-03-16
153189,16.25,94.25,Junta,myanmar_2024-03-16
153190,16.25,94.75,Junta,myanmar_2024-03-16
153191,16.25,95.25,Junta,myanmar_2024-03-16
153192,16.25,95.75,Junta,myanmar_2024-03-16
153193,16.25,96.25,Junta,myanmar_2024-03-16
153196,16.25,97.75,Junta,myanmar_2024-03-16
153197,16.25,98.25,Karen,myanmar_2024-03-16
153198,16.25,98.75,Karen,myanmar_2024-03-16
153909,16.75,94.25,Junta,myanmar_2024-03-16
153910,16.75,94.75,Junta,myanmar_2024-03-16
153911,16.75,95.25,Junta,myanmar_2024-03-16
153912,16.75,95.75,Junta,myanmar_2024-03-16
153913,16.75,96.25,Junta,myanmar_2024-03-16
153914,16.75,96.75,Junta,myanmar_2024-03-16
153915,16.75,97.25,Junta,myanmar_2024-03-16
153916,16.75,97.75,Junta,myanmar_2024-03-16
153917,16.75,98.25,Karen,myanmar_2024-03-16
153918,16.75,98.75,Karen,myanmar_2024-03-16
154630,17.25,94.75,Junta,myanmar_2024-03-16
154631,17.25,95.25,Junta,myanmar_2024-03-16
154632,17.25,95.75,Junta,myanmar_2024-03-16
154633,17.25,96.25,Junta,myanmar_2024-03-16
154634,17.25,96.75,Junta,myanmar_2024-03-16
154635,17.25,97.25,Junta,myanmar_2024-03-16
154636,17.25,97.75,Junta,myanmar_2024-03-16
154637,17.25,98.25,Junta,myanmar_2024-03-16
155350,17.75,94.75,Junta,myanmar_2024-03-16
155351,17.75,95.25,Junta,myanmar_2024-03-16
155352,17.75,95.75,Junta,myanmar_2024-03-16
155353,17.75,96.25,Junta,myanmar_2024-03-16
155354,17.75,96.75,Junta,myanmar_2024-03-16
155355,17.75,97.25,Junta,myanmar_2024-03-16
155356,17.75,97.75,Junta,myanmar_2024-03-16
156069,18.25,94.25,Junta,myanmar_2024-03-16
156070,18.25,94.75,Junta,myanmar_2024-03-16
156071,18.25,95.25,Junta,myanmar_2024-03-16
156072,18.25,95.75,Junta,myanmar_2024-03-16
156073,18.25,96.25,PDF,myanmar_2024-03-16
156074,18.25,96.75,Junta,myanmar_2024-03-16
156075,18.25,97.25,Junta,myanmar_2024-03-16
156076,18.25,97.75,Junta,myanmar_2024-03-16
156788,18.75,93.75,Junta,myanmar_2024-03-16
156789,18.75,94.25,Junta,myanmar_2024-03-16
156790,18.75,94.75,Junta,myanmar_2024-03-16
156791,18.75,95.25,Junta,myanmar_2024-03-16
156792,18.75,95.75,PDF,myanmar_2024-03-16
156793,18.75,96.25,PDF,myanmar_2024-03-16
156794,18.75,96.75,Junta,myanmar_2024-03-16
156795,18.75,97.25,Karenni,myanmar_2024-03-16
156796,18.75,97.75,Karenni,myanmar_2024-03-16
157508,19.25,93.75,Junta,myanmar_2024-03-16
157509,19.25,94.25,Junta,myanmar_2024-03-16
157510,19.25,94.75,Junta,myanmar_2024-03-16
157511,19.25,95.25,Junta,myanmar_2024-03-16
157512,19.25,95.75,Junta,myanmar_2024-03-16
157513,19.25,96.25,Junta,myanmar_2024-03-16
157514,19.25,96.75,Junta,myanmar_2024-03-16
